ladnm,Good,Inadequate,Not Rated,Outstanding,Requires Improvement,Good_pct,Inadequate_pct,Not Rated_pct,Outstanding_pct,Requires Improvement_pct,Total_Agencies
Adur,6,0,4,0,0,60.0,0.0,40.0,0.0,0.0,10
Amber Valley,8,1,7,2,2,40.0,5.0,35.0,10.0,10.0,20
Arun,29,0,12,1,2,65.9090909090909,0.0,27.27272727272727,2.272727272727273,4.545454545454546,44
Ashfield,14,0,16,1,0,45.16129032258064,0.0,51.61290322580645,3.225806451612903,0.0,31
Ashford,19,0,12,1,6,50.0,0.0,31.57894736842105,2.631578947368421,15.789473684210526,38
Babergh,13,0,10,1,4,46.42857142857143,0.0,35.714285714285715,3.571428571428571,14.285714285714285,28
Barking and Dagenham,62,0,97,0,10,36.68639053254438,0.0,57.396449704142015,0.0,5.9171597633136095,169
Barnet,65,0,39,3,6,57.52212389380531,0.0,34.51327433628318,2.6548672566371683,5.3097345132743365,113
Barnsley,39,0,17,0,3,66.10169491525424,0.0,28.8135593220339,0.0,5.084745762711865,59
Basildon,33,0,32,1,4,47.14285714285714,0.0,45.714285714285715,1.4285714285714286,5.714285714285714,70
Basingstoke and Deane,25,0,23,1,4,47.16981132075472,0.0,43.39622641509434,1.8867924528301887,7.547169811320755,53
Bassetlaw,12,0,15,3,2,37.5,0.0,46.875,9.375,6.25,32
Bath and North East Somerset,13,0,15,0,3,41.935483870967744,0.0,48.38709677419355,0.0,9.67741935483871,31
Bedford,36,1,45,3,9,38.297872340425535,1.0638297872340425,47.87234042553192,3.1914893617021276,9.574468085106384,94
Bexley,23,1,38,1,13,30.263157894736842,1.3157894736842104,50.0,1.3157894736842104,17.105263157894736,76
Birmingham,138,5,165,2,55,37.80821917808219,1.36986301369863,45.20547945205479,0.547945205479452,15.068493150684931,365
Blaby,14,0,21,2,4,34.146341463414636,0.0,51.21951219512195,4.878048780487805,9.75609756097561,41
Blackburn with Darwen,18,0,22,0,2,42.857142857142854,0.0,52.38095238095239,0.0,4.761904761904762,42
Blackpool,16,0,12,0,1,55.172413793103445,0.0,41.37931034482759,0.0,3.4482758620689653,29
Bolsover,6,0,5,0,1,50.0,0.0,41.66666666666667,0.0,8.333333333333332,12
Bolton,43,0,34,1,3,53.086419753086425,0.0,41.9753086419753,1.2345679012345678,3.7037037037037033,81
Boston,3,0,4,1,1,33.33333333333333,0.0,44.44444444444444,11.11111111111111,11.11111111111111,9
"Bournemouth, Christchurch and Poole",87,0,43,3,0,65.41353383458647,0.0,32.33082706766917,2.2556390977443606,0.0,133
Bracknell Forest,12,1,11,0,3,44.44444444444444,3.7037037037037033,40.74074074074074,0.0,11.11111111111111,27
Bradford,57,1,49,1,12,47.5,0.8333333333333334,40.833333333333336,0.8333333333333334,10.0,120
Braintree,25,0,10,2,4,60.97560975609756,0.0,24.390243902439025,4.878048780487805,9.75609756097561,41
Breckland,11,0,7,3,5,42.30769230769231,0.0,26.923076923076923,11.538461538461538,19.230769230769234,26
Brent,70,0,29,0,11,63.63636363636363,0.0,26.36363636363636,0.0,10.0,110
Brentwood,13,0,18,1,1,39.39393939393939,0.0,54.54545454545454,3.0303030303030303,3.0303030303030303,33
Brighton and Hove,44,0,21,0,5,62.857142857142854,0.0,30.0,0.0,7.142857142857142,70
"Bristol, City of",57,0,49,2,1,52.293577981651374,0.0,44.95412844036697,1.834862385321101,0.9174311926605505,109
Broadland,14,0,13,1,5,42.42424242424242,0.0,39.39393939393939,3.0303030303030303,15.151515151515152,33
Bromley,48,1,44,1,5,48.484848484848484,1.0101010101010102,44.44444444444444,1.0101010101010102,5.05050505050505,99
Bromsgrove,10,0,3,3,3,52.63157894736842,0.0,15.789473684210526,15.789473684210526,15.789473684210526,19
Broxbourne,11,0,4,0,4,57.89473684210527,0.0,21.052631578947366,0.0,21.052631578947366,19
Broxtowe,5,1,11,0,0,29.411764705882355,5.88235294117647,64.70588235294117,0.0,0.0,17
Buckinghamshire,52,2,75,4,14,35.374149659863946,1.3605442176870748,51.02040816326531,2.7210884353741496,9.523809523809524,147
Burnley,20,0,12,0,1,60.60606060606061,0.0,36.36363636363637,0.0,3.0303030303030303,33
Bury,31,0,20,0,3,57.407407407407405,0.0,37.03703703703704,0.0,5.555555555555555,54
Calderdale,31,0,16,2,4,58.490566037735846,0.0,30.18867924528302,3.7735849056603774,7.547169811320755,53
Cambridge,14,0,16,0,1,45.16129032258064,0.0,51.61290322580645,0.0,3.225806451612903,31
Camden,26,0,16,3,6,50.98039215686274,0.0,31.372549019607842,5.88235294117647,11.76470588235294,51
Cannock Chase,12,0,13,1,5,38.70967741935484,0.0,41.935483870967744,3.225806451612903,16.129032258064516,31
Canterbury,23,0,19,0,3,51.11111111111111,0.0,42.22222222222222,0.0,6.666666666666667,45
Castle Point,11,0,10,2,0,47.82608695652174,0.0,43.47826086956522,8.695652173913043,0.0,23
Central Bedfordshire,27,0,27,3,6,42.857142857142854,0.0,42.857142857142854,4.761904761904762,9.523809523809524,63
Charnwood,24,0,20,0,3,51.06382978723404,0.0,42.5531914893617,0.0,6.382978723404255,47
Chelmsford,39,1,23,2,4,56.52173913043478,1.4492753623188406,33.33333333333333,2.898550724637681,5.797101449275362,69
Cheltenham,18,1,5,1,4,62.06896551724138,3.4482758620689653,17.24137931034483,3.4482758620689653,13.793103448275861,29
Cherwell,22,0,16,2,3,51.162790697674424,0.0,37.2093023255814,4.651162790697675,6.976744186046512,43
Cheshire East,54,0,31,6,8,54.54545454545454,0.0,31.313131313131315,6.0606060606060606,8.080808080808081,99
Cheshire West and Chester,44,0,33,3,8,50.0,0.0,37.5,3.4090909090909087,9.090909090909092,88
Chesterfield,28,0,13,1,0,66.66666666666666,0.0,30.952380952380953,2.380952380952381,0.0,42
Chichester,23,0,8,1,0,71.875,0.0,25.0,3.125,0.0,32
