LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
Adur,64515,3189,3909,3813,3193,2666,3161,3662,3931,4137,4497,4654,4524,3960,3586,4028,3115,2298,2192
Amber Valley,126184,6074,6706,7051,6037,6047,7221,7520,7244,7173,8429,9932,9849,8437,7500,8155,5875,3658,3276
Arun,164841,7249,8235,8297,7652,7392,8427,9310,8939,8656,9441,11434,11944,11005,10678,12597,9696,6832,7057
Ashfield,126292,6779,7702,7557,6544,6444,7847,8633,7981,7478,8051,9470,9252,7676,6612,6703,5302,3418,2843
Ashford,132768,7603,8317,8566,7303,6472,7965,8856,8332,8166,8490,9957,9293,7450,6651,7236,5400,3507,3204
Babergh,92354,3969,4748,5177,4758,4011,4293,4780,4681,5125,5800,6922,7191,6355,5950,6843,5133,3439,3179
Barking and Dagenham,218840,17249,18328,18233,15136,13243,15215,18046,18632,17067,14927,13835,11327,8580,5943,4774,3232,2580,2493
Barnet,389365,24117,25252,25816,21464,22385,28048,30175,30780,30089,27473,25645,22887,19136,15443,14354,10480,7337,8484
Barnsley,244556,13468,14362,14347,12260,12436,16139,16819,15696,13829,15349,18712,17956,15599,13402,13040,9541,6227,5374
Basildon,187595,12195,12481,12031,10191,9656,12266,13988,13140,12052,11901,13034,12294,10457,8368,8787,6163,4346,4245
Basingstoke and Deane,185120,10555,11545,11221,9086,9221,11915,13725,13206,12679,12941,13700,12947,10368,8530,8923,6388,4311,3859
Bassetlaw,117825,5973,6562,6618,5779,5730,6944,7219,6816,6642,7450,8927,9228,7855,6822,7255,5372,3503,3130
Bath and North East Somerset,193404,9027,10055,10648,14768,18545,11457,11720,10893,10778,11726,12707,12753,10815,9419,9844,7380,5332,5537
Bedford,185267,11164,11747,11970,10321,10004,11883,13562,13309,12958,12268,13036,12032,9974,8376,8349,5865,4170,4279
Bexley,246430,15035,16186,16433,14113,13512,14879,17098,17713,17128,16007,17258,16601,13579,10660,10534,7756,6002,5936
Birmingham,1144838,75015,81248,83067,86445,93238,82599,84840,80631,73979,68027,69946,62696,52637,42576,37352,28075,20946,21521
Blaby,102953,5709,6235,6145,5330,4798,6105,6920,6829,6356,6616,7360,7138,6332,5378,5774,4243,2975,2710
Blackburn with Darwen,154758,10047,11169,11730,10852,9455,10070,10645,10800,10031,9884,10299,9358,8010,6676,6213,4083,2849,2587
Blackpool,141013,7358,7908,7866,7384,7448,8568,9495,8525,7714,8616,10536,10992,9414,7676,7873,5808,4143,3689
Blaenau Gwent,66930,3545,3733,3798,3316,3531,4415,4596,4027,3689,4141,5085,5158,4364,3702,3829,2768,1805,1428
Bolsover,80294,4103,4494,4470,3923,4179,5293,5370,4948,4348,5202,6398,6055,5279,4397,4449,3474,2089,1823
Bolton,295936,18464,20438,20814,18320,16632,17763,20047,19932,18508,18769,20121,19204,16217,13862,14195,10081,6781,5788
Boston,70507,3652,4168,4297,3757,3613,4242,4801,4684,4221,4584,4841,4908,4336,3820,3819,2872,1961,1931
"Bournemouth, Christchurch and Poole",400192,18864,21202,21356,22266,26937,23841,26154,26237,25414,24735,26848,26518,23404,20816,22599,17090,12193,13718
Bracknell Forest,124583,7115,7861,8084,7072,6379,8196,9316,9390,9154,8797,9048,8359,6941,5533,5024,3536,2408,2370
Bradford,546420,36096,39560,41336,37775,33138,34546,38002,38233,35647,33822,34284,32182,28785,24115,22380,14415,11191,10913
Braintree,155268,8461,8980,9370,8178,7532,9166,9933,9654,9455,10511,11856,11078,9353,8383,9011,6354,4146,3847
Breckland,141468,6780,7670,7724,6660,6733,8105,8500,7811,7744,8560,10060,10529,9303,8775,9706,7251,4888,4669
Brent,339832,19980,19848,20875,20618,24584,29313,29834,27685,25358,23124,22795,19880,16382,12302,9613,6980,5476,5185
