PCDS,LAT,LONG,pcds_clean
AL1 1HE,51.74886,-0.340787,AL11HE
AL1 1JQ,51.74284,-0.323278,AL11JQ
AL1 1LE,51.75044,-0.337064,AL11LE
AL1 3LF,51.75235,-0.338167,AL13LF
AL1 3TF,51.74917,-0.326057,AL13TF
AL1 4AR,51.75996,-0.329816,AL14AR
AL1 5FL,51.74941,-0.317515,AL15FL
AL10 0DE,51.76357,-0.23401,AL100DE
AL10 0JD,51.76612,-0.222578,AL100JD
AL10 0LN,51.76265,-0.226366,AL100LN
AL10 0RN,51.76304,-0.233422,AL100RN
AL10 8FF,51.76655,-0.217068,AL108FF
AL10 8HA,51.75588,-0.233905,AL108HA
AL10 8QP,51.7524,-0.228608,AL108QP
AL10 8TX,51.76012,-0.225697,AL108TX
AL10 9JP,51.75462,-0.235403,AL109JP
AL10 9JZ,51.76664,-0.249411,AL109JZ
AL10 9LS,51.76275,-0.250432,AL109LS
AL10 9NA,51.76233,-0.243883,AL109NA
AL10 9PL,51.76592,-0.250584,AL109PL
AL10 9RU,51.7588,-0.255801,AL109RU
AL10 9SH,51.746,-0.237855,AL109SH
AL2 1BG,51.71881,-0.287308,AL21BG
AL2 1JG,51.72604,-0.29581,AL21JG
AL2 3PJ,51.70592,-0.356831,AL23PJ
AL3 4JJ,51.74488,-0.363921,AL34JJ
AL3 4QS,51.75401,-0.346437,AL34QS
AL3 6EN,51.77166,-0.327558,AL36EN
AL3 6PA,51.77147,-0.325159,AL36PA
AL3 6RN,51.78563,-0.388181,AL36RN
AL3 7LZ,51.79783,-0.394808,AL37LZ
AL3 7PL,51.80318,-0.40071,AL37PL
AL4 0JJ,51.74984,-0.281369,AL40JJ
AL4 9RB,51.76423,-0.30695,AL49RB
AL5 2EN,51.82075,-0.362798,AL52EN
AL5 3NS,51.83331,-0.37629,AL53NS
AL5 4US,51.82504,-0.342501,AL54US
AL5 5UG,51.81173,-0.348241,AL55UG
AL7 1AJ,51.80451,-0.188084,AL71AJ
AL7 1HG,51.80241,-0.191417,AL71HG
AL7 1HH,51.80513,-0.194645,AL71HH
AL7 1HL,51.80139,-0.197173,AL71HL
AL7 1JU,51.80022,-0.194289,AL71JU
AL7 1LT,51.80174,-0.186744,AL71LT
AL7 1TW,51.80692,-0.197982,AL71TW
AL7 2AA,51.79767,-0.181976,AL72AA
AL7 2DR,51.80396,-0.17247,AL72DR
AL7 3PN,51.79289,-0.19229,AL73PN
AL8 6DG,51.80478,-0.205407,AL86DG
